phrase,sentiment_score
Dario Argento,2
have,2
"It feels like an after-school special gussied up with some fancy special effects ,",1
about,2
does,2
enough romance,2
performance,2
a,2
win the championship,2
as far as the comedy goes,2
Chokes,2
"The jabs it employs are short , carefully placed and dead-center .",3
Disney,3
Westerners,2
"dancing , running , sweating , mopping his face",2
The script,2
"Martin and Barbara are complex characters -- sometimes tender , sometimes angry --",3
actor,2
a film that deftly balances action and reflection as it lets you grasp and feel the passion others have for their work,4
melodic \/,2
on soundtrack rights,2
as,2
Though,2
in stretches,2
special,3
have been written using Mad-libs,1
to include the con,2
"a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or",2
's hard to imagine Alan Arkin being better than he is in this performance,3
tunes into a grief that could lead a man across centuries,2
in,2
"funny , fast and loose",3
studio,2
Skins,2
of,2
Its,2
Silly,2
the,2
convey more substance despite its repetitions and inconsistencies,2
Planet,2
an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage,4
the complicated emotions fueling terrorist acts,2
"It 's one of those baseball pictures where the hero is stoic , the wife is patient",2
the film is closer to the mark than I want to believe,2
Reginald VelJohnson,2
dramatically,2
"Sugar Hill Gang ,",2
entertainment,3
lovely,3
It,2
The Blues Brothers and Almost,2
as,2
a week,2
place and,2
the,2
The best film,4
lot to mull over in terms,2
smoothes over hard truths even as he uncovers them,1
one,2
as visually,2
", funny and entertaining",4
slickness,2
", the film 's final scene is soaringly , transparently moving .",3
cheesy old Godzilla flicks,1
begins,2
same,2
chills,2
to fortune,2
time,2
will quickly,3
"shows a remarkable gift for storytelling with this moving , effective little film .",4
The X potion,2
are,2
the screen,2
by,2
most hopelessly monotonous,1
spends too much time,1
film,2
Daniel,2
go along with all the weird stuff,2
down,2
of Dreams,3
you 've lost weight,3
mad,1
"Venice , etc.",2
is,2
since Tom Cruise,2
the,2
if the writers mistakenly thought they could achieve an air of frantic spontaneity by simply tossing in lots of characters doing silly stuff and stirring the pot,1
though,2
charges,3
would,2
a foot fetish,2
going to make people laugh,3
"needs a little gravity , beyond good hair and humping .",1
"In the end , the movie collapses on its shaky foundation despite the best efforts of director Joe Carnahan .",0
",",2
liked Homeboy,2
new,3
is almost completely deadpan,1
is,2
"I ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted",0
feature-length,3
.,2
fails to live up to the sum of its parts .,1
needs,2
by a lack of critical distance and a sad trust,2
of the theater,3
"complex characters -- sometimes tender ,",3
he,2
story,2
as well,2
is short on the thrills the oversize medium demands,1
least,1
one big chase that seems to have no goal and no urgency,0
two-hour running time,2
Roberto Benigni 's Pinocchio,2
a constant edge,2
understanding,2
his,2
With virtually no interesting elements for an audience to focus on,1
's,2
a movie,2
Jonah and,2
without,2
"'s just no currency in deriding James Bond for being a clichéd , doddering , misogynistic boy 's club .",1
onto,2
advance,2
at others,2
It,2
"are all by themselves ,",2
About the Benjamins,2
", and then there 's the music ...",2
points,2
link,2
the sight,2
wonderfully,3
matter how many drugs they do or how much artistic license Avary employs,2
tailor-made,3
to,2
", we are left with something like two ships passing in the night rather than any insights into gay love , Chinese society or the price one pays for being dishonest .",2
by the waste of potential,0
Hearst,2
god awful,0
when the credits finally roll and you get to leave the theater,0
shooting,1
women,2
A giggle-inducing comedy,3
feature movie,2
this,2
smiles and tears,2
.,2
does n't have any huge laughs in its story of irresponsible cops who love to play pranks,1
It,2
as,2
weirdly retro thriller,2
pulls,2
"This re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against .",0
of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair,4
"dancing , running , sweating , mopping his face and",2
", Roger Dodger is one of the most compelling variations on In the Company of Men .",4
ca,2
and,2
struggle to face and transmute his demons,2
Verbinski implements every hack-artist trick to give us the ooky-spookies .,1
",",2
experiencing,2
a movie star,3
of the theater feeling,3
", De Niro digs deep emotionally , perhaps because he 's been stirred by the powerful work of his co-stars .",4
Teacher,2
end,2
Some Like It Hot is like saying the sun rises in the east,3
every bit as awful,0
is flushed down the latrine of heroism,1
manages to put some lovely pictures up on the big screen,3
",",2
the franchise,2
face,2
.,2
than writer\/director John McKay,2
",",2
dollop,2
by Brosnan,2
bring,3
into,2
the shadow side,2
is,2
... revenge is sweet !,3
looks made for cable rather than for the big screen .,1
's shooting the latest System of a Down video,2
-LRB-,1
the existential overtones of a Kieslowski morality tale,3
with,2
be,2
be funny,3
`,2
A,2
morose,2
'll probably,2
to,2
into,2
the big problems,2
and sci-fi mystery,2
an actor,2
films,2
Story,2
.,2
us,3
",",2
does,2
",",2
by his characters,2
thoughts,2
.,2
instead pummel the audience,0
like thoughtful treatises,2
artistic license Avary,2
of,2
something else far more pleasurable,2
is,2
"whose promising , if rather precious ,",3
baseball pictures,2
R.,2
or,2
wrench my eyes out of my head,0
a talented head,3
This,2
that 's about all it does well,2
.,2
it offends by just being wishy-washy,0
heart,2
'll stick with The Tune,2
the,2
right,3
those,2
"a beautiful city viewed through the eyes of a character who , in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive",4
probably,2
the viewer haunted by the waste of potential,1
n't,2
A string of rehashed sight gags,1
movie,2
troubling interpretation,1
speedy,2
at this time of year,2
by,2
its,2
this chamber drama is superbly acted by the deeply appealing veteran Bouquet and the chilling but quite human Berling .,4
be,2
-,2
parents,2
"a thought-provoking , haunting film that allows the seeds of the imagination to germinate",2
in,2
The,2
class,2
also,2
it,2
",",2
"love , loyalty and",3
on a deeper level,2
this movie,2
beginning,2
In execution,2
the most patient,2
demons,1
Jason,2
we return to the more traditional action genre .,2
the issues,2
if rather precious,3
good,3
overwhelmingly,3
Journal,2
of,2
Vera,2
have,2
know the plot 's a little crazy,2
n't,2
place,2
.,2
justify,2
love or is it,2
likely,2
not much fire in the script,1
who,2
Viewers,2
Stealing Harvard,2
takes,2
journey through life,2
Corny,1
a far better title,2
that there 's hope for popular cinema yet,3
but,2
the,2
"that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays",1
a crucial role,2
A superbly,3
form,2
never planned,2
the,2
fully-written characters,3
"Lawrence bounces -RRB- all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place .",3
despite its overt self-awareness,2
it,2
the,2
The,2
time,2
"innovative , nor the story as imaginative as in the original",1
more than play an innocuous game of fill-in - the-blanks with a tragic past,2
spectacular whiff,3
"put on 30 pounds for the role , and has completely transformed himself from his smooth , Goodfellas image .",2
and,2
-LRB-,1
"-RRB- talent lies in an evocative , accurate observation of a distinctive milieu",3
good,3
is n't,1
film,2
most vibrant,3
portrayal,2
seems,2
keeps,2
"I felt sad for Lise not so much because of what happens as because she was captured by this movie when she obviously belongs in something lighter and sunnier , by Rohmer , for example .",2
for,2
compelling story,3
've,2
urban mosaic,2
", feeling and believability",2
a,2
their,2
smoothes,3
holds,2
not,1
mired,2
that uses clips from Brian De Palma 's Scarface,2
"for a few laughs , as are Chan and Hewitt",3
Little 2,2
of the series,2
take the movie to a higher level,3
remember,2
give,3
and,2
Thekids,2
", it has no sense of humor",1
like,2
pops Nathan Lane .,2
The,2
a Kieslowski morality tale,2
a,2
could really,2
of,2
but,2
coarse,2
and,2
he never really embraces the joy of Fuhrman 's destructive escapism or the grace-in-rebellion found by his characters,1
of,2
has long,2
"an account of a nervous breakdown , a trip down memory lane , all three",3
a stunning lyrical work of considerable force and truth,4
bad,0
the horror concept completely loses its creepy menace .,1
qualities,3
director Reginald Hudlin,2
is no pleasure in watching a child suffer .,0
Clooney 's a good director .,4
ideas,2
A pleasant enough romance with intellectual underpinnings,3
significance,2
master,2
sank from quirky to jerky to utter turkey,1
series,2
exactly the Bees Knees,2
This piece of Channel 5 grade trash,0
It,2
Belgian,2
ugly heads,1
kids,2
to see where this is going,2
there,2
the film 's power,3
Down,2
", in spite of tragic loss and increasing decrepitude , knows in his bones that he is one of the luckiest men alive",2
put in the past,2
a typical romantic lead,2
Heaven,3
very little genuine romance,0
brushed with sentimentality but,3
His healthy sense,3
better,4
a documentary can get,2
adults,2
The,2
.,2
Belgian fable,2
"Get in the car , bitch , ' this Jerry Bruckheimer production has little else to offer",1
the rest of the world,2
most,2
about a father and son connection that is a brief shooting star of love,4
focus on,2
about,2
's,2
than,2
of,2
since it 's been packaged and sold back to us by Hollywood,2
subtle and,3
much besides glib soullessness,1
its,2
Actress,2
"produced such a script ,",2
I ca n't quite recommend it -- it 's too patched together -- but I almost can ;,1
A thinly veiled look at different aspects of Chinese life clashing with each other .,2
a character,2
movie,2
"Byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama",4
and,2
a marching band,2
dark soul,1
doing,2
wincing back,2
"Too slow , too long and too little happens",1
epic struggle,4
being as cloying or preachy,2
its mark,2
highly enjoyable,4
memorable images ...,3
"the mixture , the intoxicating masala",2
I do n't think I laughed out loud once .,0
does well,3
a new art form,3
",",2
Easily,2
his actions,2
"about early rap records -LRB- Sugar Hill Gang , etc. -RRB-",2
American,2
as he uncovers them,2
on Imax,2
a,2
to,2
the savagery,1
wonder,3
Mamet 's,2
butchered,1
Japanese,2
-RRB-,3
the,2
is one of 2002 's involvingly adult surprises,3
all,2
about,2
Haneke has a different objective in mind,2
"the film does not make this statement in an easily accessible way , and -- unless prewarned --",1
goes,2
"A warm but realistic meditation on friendship , family and affection",3
movie,2
laughable,1
military,2
!,2
Hollywood,2
history,2
instead,2
the,2
",",2
"that knows what it is , and knows the form 's history",3
few,2
It,2
engaging,4
into,2
we have n't seen on the big screen before,3
of a wading pool,2
has anchored lighter affairs,2
young,2
in,2
hampered by a Lifetime-channel kind of plot and a lead actress who is out of her depth,1
Nickleby thing,2
picture strains,1
jail,2
"Mr. Tsai is a very original artist in his medium , and",3
Not since Freddy Got Fingered,3
you,2
",",2
as,2
you,2
No one,2
Putty,1
the pocket,2
through,2
comedy,3
experience,2
to,2
to lighten things up,3
film,2
",",2
measured pace and lack,2
of artists and the love of cinema-and-self,3
diversion and,2
rises,2
comedy,3
made for a different film,2
ca n't,2
've ever,2
lovely,3
an enjoyable one,3
restrained,2
"it feels as if it might have been made in the '70s or '80s , and starred Chevy Chase and Goldie Hawn .",2
", stylish",3
when,2
the fart jokes,2
to,2
.,2
baby,2
"speaking , adored by the movie-going public",3
Looking,2
"film that makes me miss Hitchcock , but also",3
loses,1
Trademark American triteness and simplicity,2
The Salton Sea,2
title,2
"sheer , selfish , wound-licking , bar-scrapping doggedness",2
"a thousand years old ,",1
teasing,1
Beneath Clouds is a succinct low-budget film whose compelling characters and intelligent script are exactly what was missing from Rabbit-Proof Fence .,2
failure,0
to,2
test audiences,2
plundered by similar works,2
"gripping , tidy little movie",3
there,2
conservative route,2
the,2
"on Imax it seems better , not just bigger",3
bad idea,0
that,2
from,2
have the savagery of combat and the specter of death been visualized with such operatic grandeur .,3
too,2
a raw exhilaration about it,4
by,2
Daniel,2
That,2
end,2
It 's not original,1
clown,2
unlikely,2
classics,2
change,2
has,2
Grease,2
gripping enough,2
too mercenary and obvious,1
.,2
ugly knot,1
end,2
leveling,2
least,1
\/ Fred,2
and,2
unpredictable blend,2
everyone,2
.,2
in concept,2
compassion and,2
for cable rather than,1
My,2
enough,2
-RRB-,3
sends us out,2
to,2
distress who resorts to desperate measures,2
in-the-ring match-up,2
acted and,2
`,2
careful,2
even worse,1
story .,2
last,2
"No sophomore slump for director Sam Mendes , who segues from Oscar winner to Oscar-winning potential with a smooth sleight of hand .",4
Wilson,2
rent,2
thought my own watch had stopped keeping time as I slogged my way through Clockstoppers .,0
than,2
of dimwitted comedy and even dimmer characters,1
's,2
narrative form,2
originated the characters on stage,2
is,2
"The film is quiet , threatening and unforgettable .",4
its brains,2
capture so perfectly,3
and,2
-- and indeed it must,2
speeds,2
",",2
do,2
it has become even weaker,1
message,2
a,2
quirky cast,3
's Axis of Evil .,1
something,2
takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .,4
than,2
"an above-average cast ,",3
"feels empty and unsatisfying , like swallowing a Communion wafer without the wine .",0
ca,2
to the point of evaporation,2
... is that he obviously does n't have his heart in it .,1
plot,2
of little boys on baseball fields as well as the grown men who sit in the stands,2
the most depressing places,1
commercial yet,2
"that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you",3
it,2
embarrassment,2
of my head,2
Shyamalan has given us in his past two movies,2
become valedictorian at the School,2
Even in its most tedious scenes,2
some script weaknesses,1
nothing but,2
it comes to the characters and writing ... but works its way underneath the skin like few movies,3
Undisputed,3
it,2
time,2
the,2
French,2
's the tension that keeps you in your seat,4
like,2
"too many ideas floating around -- part farce , part Sliding Doors , part pop video --",0
12,2
does n't,1
"Jeffrey Dahmer ,",1
"clear the filmmakers were n't sure where they wanted their story to go ,",1
postmodern,2
restrained,2
the ` small ' movie,2
Ballistic is silly .,1
',2
from,2
.,2
instructive,3
funny,3
the,2
being washed away in love 's dissolution,2
be when it 's approached with imagination and flair,4
Fontaine,2
David,2
who know their way around a submarine,2
when,2
past and present,2
for a greater sense of urgency in the here and now of The Two,3
", the true creativity would have been to hide Treasure Planet entirely and completely reimagine it .",0
", reads more like Driving Miss Daisy than GoodFellas",1
.,2
Chelsea,2
to Oscar-winning potential with a smooth sleight of hand,4
telling,3
", this could be the worst thing Soderbergh has ever done .",1
Maelström is just another Winter Sleepers .,2
make one pine for the day,2
ever,2
what,2
be,2
it all hang out,2
a,2
mounted,2
dull,0
and,2
...,2
this is the sort of infantile that makes you wonder about changing the director and writer 's diapers,1
small,2
"excel in insightful , empathetic performances",4
to please a crowd,2
a succession,2
life in the WWII-era Mississippi Delta,2
reality ' show,2
at,2
tell it to us,2
"dancing , running , sweating",2
"does possess a coherence absent in recent crass-a-thons like Tomcats , Freddy Got Fingered , and Slackers",2
frat party,2
discernible,2
to,2
",",2
ever,2
filmed,2
Wilde,2
"it 's an unpretentious , sociologically pointed slice of life .",3
than,2
directorial debut,2
for teasing chilly poetry out of lives and settings,3
comedy,3
of how the gears of justice grind on and the death report comes to share airtime alongside the farm report,2
.,2
The Importance,2
delivered so little entertainment,1
work,2
20th,3
young science fiction fans,2
Say It Is n't So,1
better suited for the small screen,1
"the special effects and narrative flow much improved ,",3
by,2
moments,2
the best films,3
tone and,2
"even like them , though perhaps it 's an emotion closer to pity",2
experience .,2
.,2
spoof them,2
and,2
of,2
except good intentions,2
too serious or too lighthearted,2
fooled by the impressive cast list,1
that shows just enough to keep us on our toes,3
you,2
",",2
is a totally formulaic movie,1
romantic lead,2
catch some quality naptime,0
that,2
memory,2
CIA,2
needs love,1
Old-form moviemaking at its best,4
cuts to the heart of American society in an unnerving way,3
that it seems positively French in its rhythms and resonance,3
characters,2
banality,1
escape,3
a strange kind,2
is,2
even,2
", the film never percolates beyond a monotonous whine .",0
's refreshing to see a girl-power movie that does n't feel it has to prove anything,3
's a lovely film with lovely performances by Buy and Accorsi .,4
one that seems to be made for a different film altogether,1
.,2
the,2
Godzilla,2
has,2
pops Nathan Lane,3
to sell the material,2
A movie,2
heart,2
work,2
"yearning ,",2
her raw performance and utter fearlessness,3
Friel and Williams 's,2
you do n't know anything about Derrida when you walk into the theater,2
timeless quality,3
LaPaglia 's,3
the,2
watch Some Body,3
a,2
.,2
the expense,2
Slapstick,2
possible successor,2
if,2
trust and loyalty,3
-LRB- Kissinger 's -RRB- any more guilty of criminal activity than most contemporary statesmen,2
culture,2
a trip,3
than,2
", accessible and funny",4
Would n't,2
Wollter,2
magnify her outrageous charm,3
deserves to be seen by anyone with even a passing interest in the events shaping the world beyond their own horizons .,4
it strangely magnetic,3
.,2
its britches,2
have called it Gutterball,1
Martin,2
-- and complicity --,2
.,2
"is definitely one to skip , even for horror movie fanatics .",1
at her abusers,2
fill-in,2
takes a slightly anarchic approach that works only sporadically .,2
of its predecessors,2
have,2
Eisenberg 's,2
rather sturdy,3
video,2
Muccino 's characters are less worthy of Puccini than they are of daytime television,1
who look working-class,2
shocked,2
foot-dragging rhythms,2
tightening,2
Is,2
unnerving to see Recoing 's bizzarre reaction to his unemployment,1
of,2
pulls us into its world,3
is,2
a,2
with acclaimed actors and actresses,3
that the crux of the mystery hinges on a technicality that strains credulity and leaves the viewer haunted by the waste of potential,1
this and,2
"Byler reveals his characters in a way that intrigues and even fascinates us , and",3
"disjointed , haphazard script",1
the farm report,2
A,2
"A full world has been presented onscreen , not some series of carefully structured plot points building to a pat resolution",4
tossed out,1
movie,2
she,2
might as well,2
pulls off a neater trick in Possession,2
All,2
genre,2
because,2
love story and sci-fi mystery,3
has a major release been so painful to sit through,1
the,2
-LRB-,1
sentimentality,2
be,2
insightful,3
them,2
energetic,3
are,2
the wrap of his legendary sitcom,2
A bloated gasbag thesis,1
in,2
young people,2
Audrey,2
neither the actors nor director Reginald Hudlin,2
subtle,3
Jacquot,2
leave,1
his increasing weariness as much existential,2
seems,2
one,2
we go to the movies,2
us some beguiling curves,2
"originality , cleverness or even visible effort",2
same teenage American road-trip drek,1
"will fulfill your wildest fantasies about being a different kind of time traveler , while happily killing 94 minutes",3
one enjoys a bad slasher flick,1
De,2
"sweet , harmless ,",3
heaven,3
nonstop,2
"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women , water , nature , and sexuality .",4
fatal,2
to,2
the passion,2
's basically an overlong episode of Tales from the Crypt .,1
in himself,3
a,2
No aspirations to social import inform the movie version .,1
out,1
long time to get to its gasp-inducing ending,2
is,2
it 's tempting to jump ship in January to avoid ridiculous schlock like this shoddy suspense thriller .,1
wo n't,2
has no interest in itself,2
clunky,1
evocative,3
character study,2
it,2
?,2
", dumbfoundingly , mind-numbingly bad .",0
come,2
.,2
"Stephen Rea ,",2
no longer,2
chiller .,2
taste,2
",",2
as well as,2
for,2
takes talent to make a lifeless movie about the most heinous man who ever lived .,1
", we ca n't recommend anything but a rental for The Tuxedo",1
"Nicks ,",2
"It showcases Carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff .",1
picking,2
in the visuals and eccentricities of many of the characters,2
the,2
And I 've decided to leave a light on every night from now on .,2
Uses high comedy to evoke surprising poignance .,4
good fun,4
moviegoing,2
French,2
takes,2
an,2
a manual of precinct cliches,2
"transcends our preconceived vision of the Holy Land and its inhabitants , revealing the human complexities beneath .",3
"The reality of the new live-action Pinocchio he directed , cowrote and starred in borders on the grotesque .",1
's a feature-length adaptation of one of those `` Can This Marriage Be Saved,2
a,2
will,2
ripping people off without ever letting them consciously know you have done so,1
effects,2
cutout,2
My thoughts,2
for the David Mamet enthusiast and,3
course,2
to,2
wit,2
the,2
can swallow,2
like a fool,2
Eastwood at his best,4
the skin like few movies,2
"Nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative Nine Queens is lots of fun",3
", remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid .",3
see,2
the movie proceeds,2
recycling,3
"a solid build-up , a terrific climax ,",4
it,2
it,2
done,2
make,2
occasionally static to the point of resembling a stage play,1
and,2
ugly and diverse,2
"As a tolerable diversion , the film suffices ; a Triumph , however , it is not .",2
a script,2
characters,2
have a right,2
more irritating cartoons,1
a lot,2
the regime 's,2
a sophisticated cinephile,2
"tender ,",3
the grim situation,1
trial great fun,3
the,2
drugs,2
with,2
Quills,2
Escaping the studio,2
if,2
for a reasonably intelligent person,2
No telegraphing,2
free,3
differences,2
a superior cast playing smart people amid a compelling plot,4
It 's just disappointingly superficial --,0
.,2
Hollywood 's hastier productions,1
set,2
with,2
too predictable,0
you 're in the mood for a Bollywood film,2
War,1
to spoof them,2
the,2
first,2
a,2
sensibility,2
Niccol,2
",",2
No one but a convict guilty of some truly heinous crime,1
a,2
film,2
and,2
change moods,2
Peter and,2
I,2
and,2
trips him up again,2
is,2
brassy,2
.,2
The,2
class conflict,2
a,2
grotesquely impressed by its own gargantuan aura of self-importance ...,2
"Corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless .",3
Although,2
It,2
will,2
impossible,0
a most touching reconsideration,3
"seeing just on the basis of the wisdom , and at times , the startling optimism , of the children",3
than,2
of scenes,2
once,2
.,2
take,2
banal,1
ca n't stop loving anime,3
except,2
deep,2
n't,2
columns,2
Fat Waste,1
the,2
lean,2
Kept aloft largely by a comically adept ensemble .,2
the,2
snags,2
power,2
the,2
best,4
very human,2
than an Eddie Murphy film,2
a good job,4
be a cheap knockoff,1
related to the people who watched the robots getting butchered in A.I.,2
seem tedious,1
that,2
"The script kicks in , and Mr. Hartley 's distended pace and foot-dragging rhythms follow",1
Trek,2
do n't think I laughed out loud once,0
can,2
Blair,2
it,2
.,2
"With Rabbit-Proof Fence , Noyce has tailored an epic tale into a lean , economical movie .",3
its,2
their talent,2
its exploration of the obstacles to happiness,3
the,2
though everyone in my group extemporaneously shouted,2
where,2
together and not quite enough characterization,1
rights,3
dexterous,2
and,2
when,2
one,2
feeling,2
of the Bard,2
rap records,2
too many ideas floating around,1
tragic loss,1
a,2
that,2
...,2
is that it lacks focus,1
laced with humor and a few fanciful touches,3
maddeningly predictable,1
Kung,2
time,2
the difficult relationship,2
very,2
His healthy sense of satire,3
",",2
an artist,2
cinematic,3
smooth the moral stiffness with human kindness and hopefulness,2
to life,2
form,2
deep,2
most tedious,1
is,2
their,2
would be very possible for a reasonably intelligent person to sit through its tidal wave of imagery and not get this vision at all,1
This time Mr. Burns is trying something in the Martin Scorsese street-realist mode,3
of spectacularly,3
a,2
-LRB- Andy Lau -RRB-,2
they,2
it 's rarely been told with such affecting grace and cultural specificity,3
"covers a lot of ground , perhaps too much , but ties things together , neatly , by the end .",3
"the piece ,",2
a simple message,3
convolutions,2
about it,2
...,2
"of disco Bollywood that , by the end of Monsoon Wedding , sent my spirit soaring out of the theater",3
power and depth,3
can redeem it from hopeless sentimentality .,2
